Groupe;Équipe;J;G;N;P;Bp;Bc;Dif.;PFP;Pts
Groupe A;Mexique;3;3;0;0;6;0;6;-6;9
Groupe A;Afrique du Sud;3;1;1;1;2;3;-1;-13;4
Groupe A;Corée;3;1;0;2;2;3;-1;-4;3
Groupe A;Tchéquie;3;0;1;2;2;6;-4;-1;1
Groupe B;Suisse;3;2;1;0;7;3;4;-3;7
Groupe B;Canada;3;1;1;1;8;3;5;-5;4
Groupe B;Bosnie-Herzégovine;3;1;1;1;5;6;-1;-10;4
Groupe B;Qatar;3;0;1;2;2;10;-8;-12;1
Groupe C;Brésil;3;2;1;0;7;1;6;-5;7
Groupe C;Maroc;3;2;1;0;6;3;3;-1;7
Groupe C;Écosse;3;1;0;2;1;4;-3;-5;3
Groupe C;Haïti;3;0;0;3;2;8;-6;-7;0
Groupe D;États-Unis;3;2;0;1;8;4;4;-5;6
Groupe D;Australie;3;1;1;1;2;2;0;-5;4
Groupe D;Paraguay;3;1;1;1;2;4;-2;-12;4
Groupe D;Turquie;3;1;0;2;3;5;-2;-3;3
Groupe E;Allemagne;3;2;0;1;10;4;6;-1;6
Groupe E;Côte d'Ivoire;3;2;0;1;4;2;2;-4;6
Groupe E;Équateur;3;1;1;1;2;2;0;-5;4
Groupe E;Curaçao;3;0;1;2;1;9;-8;-7;1
Groupe F;Pays-Bas;3;2;1;0;10;4;6;-3;7
Groupe F;Japon;3;1;2;0;7;3;4;-1;5
Groupe F;Suède;3;1;1;1;7;7;0;-5;4
Groupe F;Tunisie;3;0;0;3;2;12;-10;-1;0
Groupe G;Belgique;3;1;2;0;6;2;4;-7;5
Groupe G;Égypte;3;1;2;0;5;3;2;-6;5
Groupe G;Iran;3;0;3;0;3;3;0;-6;3
Groupe G;Nouvelle-Zélande;3;0;1;2;4;10;-6;-4;1
Groupe H;Espagne;3;2;1;0;5;0;5;-2;7
Groupe H;Cap-Vert;3;0;3;0;2;2;0;-4;3
Groupe H;Uruguay;3;0;2;1;3;4;-1;-9;2
Groupe H;Arabie saoudite;3;0;2;1;1;5;-4;-6;2
Groupe I;France;3;3;0;0;10;2;8;-1;9
Groupe I;Norvège;3;2;0;1;8;7;1;-1;6
Groupe I;Sénégal;3;1;0;2;8;6;2;-2;3
Groupe I;Irak;3;0;0;3;1;12;-11;-8;0
Groupe J;Argentine;2;2;0;0;5;0;5;-2;6
Groupe J;Autriche;2;1;0;1;3;3;0;-3;3
Groupe J;Algérie;2;1;0;1;2;4;-2;-1;3
Groupe J;Jordanie;2;0;0;2;2;5;-3;-1;0
Groupe K;Colombie;2;2;0;0;4;1;3;-3;6
Groupe K;Portugal;2;1;1;0;6;1;5;-4;4
Groupe K;RD Congo;2;0;1;1;1;2;-1;-2;1
Groupe K;Ouzbékistan;2;0;0;2;1;8;-7;-2;0
Groupe L;Angleterre;2;1;1;0;4;2;2;-1;4
Groupe L;Ghana;2;1;1;0;1;0;1;-2;4
Groupe L;Croatie;2;1;0;1;3;4;-1;-1;3
Groupe L;Panama;2;0;0;2;0;2;-2;-3;0
