Date;Groupe;Domicile;Score Domicile;Score Exterieur;Exterieur;Statut
11-juin;Groupe A;Mexique;2;0;Afrique du Sud;Terminé
12-juin;Groupe A;Corée du Sud;2;1;Tchéquie;Terminé
12-juin;Groupe B;Canada;1;1;Bosnie-Herzégovine;Terminé
13-juin;Groupe D;États-Unis;4;1;Paraguay;Terminé
13-juin;Groupe B;Qatar;1;1;Suisse;Terminé
14-juin;Groupe C;Brésil;1;1;Maroc;Terminé
14-juin;Groupe C;Haïti;0;1;Écosse;Terminé
14-juin;Groupe D;Australie;2;0;Turquie;Terminé
14-juin;Groupe E;Allemagne;7;1;Curaçao;Terminé
14-juin;Groupe F;Pays-Bas;2;2;Japon;Terminé
15-juin;Groupe E;Côte d'Ivoire;1;0;Équateur;Terminé
15-juin;Groupe F;Suède;5;1;Tunisie;Terminé
15-juin;Groupe H;Espagne;0;0;Cap-Vert;Terminé
15-juin;Groupe G;Belgique;1;1;Égypte;Terminé
16-juin;Groupe H;Arabie saoudite;1;1;Uruguay;Terminé
16-juin;Groupe G;Iran;2;2;Nouvelle-Zélande;Terminé
16-juin;Groupe I;France;3;1;Sénégal;Terminé
17-juin;Groupe I;Irak;1;4;Norvège;Terminé
17-juin;Groupe J;Argentine;3;0;Algérie;Terminé
17-juin;Groupe J;Autriche;3;1;Jordanie;Terminé
17-juin;Groupe K;Portugal;1;1;RD Congo;Terminé
17-juin;Groupe L;Angleterre;4;2;Croatie;Terminé
18-juin;Groupe L;Ghana;1;0;Panama;Terminé
18-juin;Groupe K;Ouzbékistan;1;3;Colombie;Terminé
18-juin;Groupe A;Tchéquie;1;1;Afrique du Sud;Terminé
18-juin;Groupe B;Suisse;4;1;Bosnie-Herzégovine;Terminé
19-juin;Groupe B;Canada;6;0;Qatar;Terminé
19-juin;Groupe A;Mexique;1;0;Corée du Sud;Terminé
19-juin;Groupe D;États-Unis;2;0;Australie;Terminé
20-juin;Groupe C;Écosse;0;1;Maroc;Terminé
20-juin;Groupe C;Brésil;3;0;Haïti;Terminé
20-juin;Groupe D;Turquie;0;1;Paraguay;Terminé
20-juin;Groupe F;Pays-Bas;5;1;Suède;Terminé
20-juin;Groupe E;Allemagne;2;1;Côte d'Ivoire;Terminé
21-juin;Groupe E;Équateur;0;0;Curaçao;Terminé
21-juin;Groupe F;Tunisie;0;4;Japon;Terminé
21-juin;Groupe H;Espagne;4;0;Arabie saoudite;Terminé
21-juin;Groupe G;Belgique;0;0;Iran;Terminé
22-juin;Groupe H;Uruguay;2;2;Cap-Vert;Terminé
22-juin;Groupe G;Nouvelle-Zélande;1;3;Égypte;Terminé
22-juin;Groupe J;Argentine;2;0;Autriche;Terminé
22-juin;Groupe I;France;3;0;Irak;Terminé
23-juin;Groupe I;Norvège;3;2;Sénégal;Terminé
23-juin;Groupe J;Jordanie;1;2;Algérie;Terminé
23-juin;Groupe K;Portugal;5;0;Ouzbékistan;Terminé
23-juin;Groupe L;Angleterre;0;0;Ghana;Terminé
24-juin;Groupe L;Panama;0;1;Croatie;Terminé
24-juin;Groupe K;Colombie;1;0;RD Congo;Terminé
24-juin;Groupe B;Suisse;2;1;Canada;Terminé
24-juin;Groupe B;Bosnie-Herzégovine;3;1;Qatar;Terminé
25-juin;Groupe C;Maroc;4;2;Haïti;Terminé
25-juin;Groupe C;Écosse;0;3;Brésil;Terminé
25-juin;Groupe A;Afrique du Sud;1;0;Corée du Sud;Terminé
25-juin;Groupe A;Tchéquie;0;3;Mexique;Terminé
25-juin;Groupe E;Curaçao;0;2;Côte d'Ivoire;Terminé
25-juin;Groupe E;Équateur;2;1;Allemagne;Terminé
26-juin;Groupe F;Tunisie;1;3;Pays-Bas;Terminé
26-juin;Groupe F;Japon;1;1;Suède;Terminé
26-juin;Groupe D;Turquie;3;2;États-Unis;Terminé
26-juin;Groupe D;Paraguay;0;0;Australie;Terminé
26-juin;Groupe I;Norvège;1;4;France;Terminé
26-juin;Groupe I;Sénégal;5;0;Irak;Terminé
27-juin;Groupe H;Cap-Vert;0;0;Arabie saoudite;Terminé
27-juin;Groupe H;Uruguay;0;1;Espagne;Terminé
27-juin;Groupe G;Nouvelle-Zélande;1;5;Belgique;Terminé
27-juin;Groupe G;Égypte;1;1;Iran;Terminé
27-juin;Groupe L;Panama;0;2;Angleterre;Terminé
27-juin;Groupe L;Croatie;2;1;Ghana;Terminé
28-juin;Groupe K;Colombie;; ;Portugal;À venir
28-juin;Groupe K;RD Congo;; ;Ouzbékistan;À venir
28-juin;Groupe J;Algérie;; ;Autriche;À venir
28-juin;Groupe J;Jordanie;; ;Argentine;À venir
